500.0,5026.0,6737.0,3550.0,3793.0,9768.0,5205.0,7594.0,3370.0,24353.0,10555.0
433.0,816.0,1090.0,649.0,616.0,994.0,646.0,870.0,703.0,1546.0,1218.0
438.0,580.0,747.0,646.0,628.0,867.0,806.0,690.0,520.0,1748.0,1359.0
445.0,669.0,643.0,1036.0,641.0,847.0,474.0,651.0,781.0,1491.0,788.0
443.0,812.0,597.0,591.0,578.0,843.0,642.0,522.0,606.0,1478.0,740.0
475.0,808.0,640.0,957.0,690.0,1258.0,720.0,588.0,509.0,2616.0,1060.0
486.0,637.0,606.0,508.0,632.0,743.0,554.0,642.0,565.0,3770.0,985.0
522.0,897.0,559.0,984.0,642.0,937.0,577.0,646.0,700.0,1851.0,1014.0
516.0,833.0,538.0,961.0,747.0,1160.0,659.0,2079.0,566.0,1845.0,1194.0
576.0,806.0,696.0,774.0,678.0,1333.0,730.0,1201.0,613.0,1390.0,1000.0
690.0,919.0,787.0,1060.0,776.0,1380.0,718.0,865.0,770.0,1725.0,1076.0
1091.0,1197.0,1150.0,1414.0,1075.0,2073.0,1022.0,1059.0,1269.0,2533.0,1884.0
1415.0,1704.0,1691.0,1664.0,1983.0,2467.0,1629.0,1702.0,1762.0,2425.0,2028.0
2383.0,2881.0,2658.0,2533.0,2813.0,3022.0,2617.0,2865.0,2637.0,3296.0,3122.0
4564.0,4962.0,4759.0,4799.0,4974.0,5271.0,5028.0,4910.0,4913.0,5674.0,6489.0
9250.0,9357.0,9356.0,9147.0,9526.0,10317.0,9373.0,9401.0,9420.0,9886.0,9357.0
18961.0,19800.0,19636.0,19888.0,19633.0,20300.0,19597.0,19652.0,19465.0,20256.0,19850.0
41382.0,42524.0,42297.0,41448.0,42627.0,42732.0,42385.0,41544.0,42872.0,42820.0,45041.0
90120.0,90075.0,91275.0,90751.0,91233.0,91158.0,90314.0,90351.0,90382.0,91376.0,92767.0
257774.0,252452.0,247307.0,245517.0,245716.0,246324.0,237194.0,254893.0,241597.0,238183.0,257566.0
941070.0,935738.0,921869.0,923548.0,917240.0,913510.0,903501.0,918984.0,954614.0,923196.0,931201.0
