514.0,607.0,379.0,441.0,366.0,476.0,379.0,384.0,431.0,370.0,365.0
561.0,388.0,364.0,361.0,420.0,353.0,353.0,353.0,354.0,363.0,354.0
383.0,357.0,360.0,358.0,359.0,362.0,384.0,387.0,390.0,370.0,360.0
375.0,406.0,409.0,386.0,370.0,410.0,368.0,405.0,376.0,400.0,388.0
388.0,416.0,403.0,393.0,424.0,391.0,390.0,395.0,388.0,392.0,413.0
416.0,443.0,449.0,489.0,428.0,437.0,444.0,434.0,418.0,425.0,448.0
507.0,484.0,485.0,483.0,497.0,502.0,497.0,491.0,485.0,500.0,494.0
619.0,653.0,633.0,616.0,609.0,626.0,611.0,624.0,630.0,621.0,659.0
897.0,877.0,907.0,912.0,887.0,905.0,896.0,880.0,878.0,881.0,892.0
1481.0,1490.0,1498.0,1485.0,1522.0,1492.0,1492.0,1533.0,1493.0,1520.0,1518.0
3083.0,3165.0,3132.0,3149.0,3137.0,3194.0,3192.0,3136.0,3166.0,3179.0,3180.0
8825.0,9217.0,9053.0,8897.0,8984.0,8928.0,8870.0,9080.0,8915.0,9044.0,8953.0
22732.0,23014.0,23112.0,22986.0,23131.0,23060.0,22971.0,22951.0,23134.0,23249.0,22750.0
56880.0,57871.0,57640.0,57279.0,57143.0,57376.0,57680.0,57411.0,57092.0,57894.0,57118.0
140178.0,139334.0,139921.0,141009.0,140545.0,141814.0,141119.0,140816.0,139358.0,141325.0,140868.0
310175.0,310278.0,312911.0,314843.0,313100.0,311389.0,312719.0,315982.0,311551.0,311564.0,311337.0
692839.0,683484.0,691510.0,685594.0,695147.0,692031.0,689239.0,700258.0,685890.0,689687.0,696716.0
1482783.0,1486788.0,1485763.0,1500437.0,1483583.0,1500832.0,1495448.0,1486276.0,1485518.0,1488536.0,1501097.0
